Survived,Pclass,Sex,SibSp,Parch,Embarked,Edad,Tarifa,Lname,NamePrefix
0,3,1,0,0,2,6,1,567,11
1,1,0,3,2,2,4,3,189,8
0,3,1,0,0,2,4,1,102,11
0,3,1,0,0,2,7,1,110,11
0,3,1,0,0,2,4,0,17,11
0,1,1,1,0,2,0,3,103,11
0,3,1,1,2,2,7,2,150,11
0,3,1,0,0,2,0,0,131,11
0,3,1,0,0,2,6,1,549,11
0,1,1,0,0,0,3,3,217,11
1,1,1,0,1,0,4,3,224,11
1,2,0,0,1,2,7,2,158,12
0,2,1,1,0,2,7,2,299,11
0,3,0,0,0,2,7,0,484,8
0,3,1,0,0,2,6,0,485,11
0,1,1,0,1,2,4,3,640,11
0,3,1,0,0,2,7,1,291,11
0,3,1,2,0,2,0,0,227,11
0,3,1,0,0,2,7,0,400,11
1,3,0,0,0,2,4,0,534,8
1,3,1,0,0,2,6,0,413,11
0,3,1,0,0,2,0,0,501,11
1,3,0,1,0,1,6,2,409,8
0,1,1,0,0,2,0,3,494,11
0,3,0,1,0,0,5,1,659,8
0,3,1,0,0,2,4,1,42,11
0,3,0,1,0,2,4,1,296,8
0,3,0,0,0,0,5,1,27,8
0,3,1,0,0,2,4,0,475,11
0,3,1,0,0,1,3,0,126,11
0,2,1,1,0,2,7,2,617,11
0,1,1,0,1,0,4,3,45,11
0,3,0,4,2,2,1,3,16,8
0,2,1,2,0,2,4,3,257,11
0,3,1,0,0,2,6,1,408,11
0,2,1,1,0,0,7,2,426,11
1,2,0,0,0,2,7,1,634,8
0,1,1,0,1,2,0,3,640,11
1,3,1,1,0,0,2,1,434,7
0,3,1,0,0,1,6,0,387,11
1,3,1,0,0,2,4,0,363,11
1,3,0,1,1,0,6,2,482,8
0,3,1,0,0,2,0,0,172,11
0,3,1,0,0,0,7,0,164,11
0,3,1,0,0,2,4,0,116,11
0,3,0,1,0,2,0,1,514,12
1,2,0,1,0,2,7,2,636,12
0,2,1,0,0,2,4,1,572,11
0,2,1,0,0,0,4,2,506,11
1,1,0,0,2,2,4,2,431,8
0,1,1,1,0,2,0,3,198,11
0,3,1,0,0,2,5,1,457,11
0,1,1,0,0,0,4,3,208,11
0,3,0,0,2,0,6,2,67,12
1,3,0,0,0,2,4,0,442,8
1,3,0,1,0,2,4,2,230,12
0,3,1,0,0,1,4,0,78,11
0,2,1,0,0,2,5,1,18,11
0,2,1,1,1,2,4,3,432,11
1,3,1,0,0,2,7,0,16,11
0,3,0,2,2,2,2,3,187,8
0,2,1,0,2,2,0,2,428,11
0,2,1,0,0,2,0,1,83,14
0,2,1,0,0,2,0,1,43,14
1,1,0,1,0,2,4,3,473,12
0,3,1,0,0,2,0,1,393,11
0,3,1,0,2,2,0,1,665,11
0,3,1,0,0,2,6,0,453,11
0,1,1,0,1,0,0,3,647,11
1,3,0,0,0,1,5,0,213,8
0,3,1,0,0,2,7,1,129,11
0,3,1,0,0,2,6,1,570,11
0,3,1,8,2,2,6,3,532,7
0,3,1,0,1,2,0,2,133,11
1,2,0,0,0,2,0,2,633,12
0,3,1,0,0,2,7,0,53,11
0,3,1,0,0,2,5,1,89,11
0,3,1,4,1,2,1,3,464,7
1,3,1,0,2,2,2,2,218,7
1,1,0,0,1,2,6,3,108,12
0,3,0,1,4,2,0,2,563,12
0,1,1,0,0,2,6,2,44,11
0,3,1,0,0,2,7,3,351,11
0,1,1,0,0,2,3,3,620,11
0,3,1,4,1,1,1,2,505,7
1,3,0,1,1,2,1,1,292,8
0,3,1,0,0,2,4,0,560,11
0,1,1,0,0,0,0,2,571,11
0,3,1,1,1,2,5,0,316,11
0,3,1,3,1,2,6,2,332,7
0,1,0,0,0,0,0,2,278,8
0,2,1,0,0,2,7,1,231,11
0,3,1,0,0,2,0,0,339,11
0,3,0,8,2,2,6,3,532,8
0,2,1,0,0,0,6,2,479,11
0,3,1,4,2,2,2,3,25,7
1,2,1,2,1,2,1,3,49,7
1,3,0,0,2,2,1,2,313,8
0,1,1,0,0,2,6,3,519,11
1,3,0,1,0,1,6,2,444,12
1,1,1,0,0,2,0,2,517,11
0,3,1,1,1,1,0,2,68,11
0,3,1,0,0,2,0,0,614,11
1,2,0,0,0,2,7,1,491,12
0,2,1,0,0,2,4,1,95,11
1,3,0,1,0,2,4,0,14,8
1,2,1,1,1,2,1,2,428,7
1,1,0,0,0,0,0,2,76,12
1,1,0,0,0,0,0,3,359,8
0,3,1,0,0,1,6,0,394,11
0,3,1,0,1,2,0,1,453,11
1,3,0,0,0,1,6,0,361,8
0,2,0,0,0,2,4,1,658,8
0,3,1,0,0,2,7,1,622,11
0,3,1,8,2,2,6,3,532,11
0,3,1,0,0,2,7,0,290,11
0,3,1,0,0,0,0,0,655,11
1,3,1,0,0,2,5,1,117,11
0,3,0,0,1,2,1,1,588,8
0,3,1,1,0,2,7,2,31,11
1,3,1,0,0,0,7,2,7,11
1,3,0,0,0,1,5,0,98,8
1,1,1,0,0,0,0,2,64,11
0,3,1,0,0,2,4,0,10,11
1,2,0,0,0,2,7,2,90,8
0,3,1,0,0,2,4,0,478,11
0,2,1,0,0,2,7,1,214,11
0,3,1,1,0,1,6,0,309,11
1,1,0,1,0,0,7,3,430,8
1,3,0,0,0,2,7,0,267,8
0,2,1,1,0,2,0,2,280,11
1,1,0,0,0,0,7,3,46,8
0,2,1,0,0,2,7,1,241,11
1,3,1,0,0,2,5,1,589,11
0,2,1,0,0,2,7,1,71,11
0,3,1,0,0,2,0,1,222,11
0,3,1,0,0,2,6,0,429,11
1,1,1,1,0,2,0,3,271,11
0,3,1,0,0,2,4,1,54,11
1,2,1,0,0,2,4,1,392,11
0,3,1,0,0,2,4,0,356,11
0,2,1,0,0,2,5,1,179,11
0,3,0,3,1,2,6,2,332,8
1,1,0,1,0,2,7,3,241,12
0,3,1,0,0,2,7,0,328,11
0,2,1,0,0,2,0,1,562,11
1,3,0,4,2,2,1,3,25,8
0,2,1,0,0,2,4,1,344,11
0,3,0,0,0,2,6,0,237,8
0,2,1,1,0,2,0,2,263,11
1,2,0,0,2,2,2,2,122,8
0,2,1,0,0,2,4,1,477,11
0,2,1,0,0,2,7,1,273,11
0,3,0,1,0,0,6,1,659,8
1,3,0,1,0,1,6,2,420,8
0,2,1,0,0,2,7,1,119,11
0,3,1,0,0,2,4,0,364,11
0,3,1,0,0,0,7,0,27,11
0,1,1,2,0,1,0,3,398,3
0,3,0,0,0,2,4,0,346,8
1,2,0,0,2,2,4,1,232,12
1,1,1,1,1,2,0,3,50,11
0,2,1,1,0,2,0,2,100,14
0,3,1,0,0,2,6,0,499,11
0,3,0,1,1,2,7,1,588,12
0,1,1,0,0,2,3,2,581,11
0,3,1,1,0,2,7,2,352,11
0,3,0,0,2,2,0,2,520,12
1,3,0,0,2,0,7,2,610,12
1,1,0,0,0,0,6,3,600,12
1,1,0,0,0,2,7,3,107,8
1,1,0,0,0,0,7,3,630,8
1,2,0,0,1,2,0,2,467,12
0,3,1,0,0,1,6,0,571,11
1,3,1,4,2,2,1,3,25,7
0,1,1,1,1,2,0,3,595,11
0,1,1,0,0,2,0,0,242,11
0,3,0,0,0,1,6,0,254,8
0,2,1,0,0,2,0,1,500,11
0,3,1,4,1,2,5,3,464,11
1,3,1,1,0,2,4,0,481,11
1,1,0,0,1,2,0,3,221,12
1,1,0,0,0,2,7,3,61,8
0,1,1,0,0,2,6,2,86,11
1,3,1,0,0,2,4,0,608,11
1,2,0,0,1,2,0,2,391,12
0,1,1,0,1,0,0,2,427,11
1,3,0,0,0,1,6,0,248,8
1,1,0,1,0,2,3,3,19,8
0,3,0,0,0,2,0,0,347,8
0,2,1,0,0,2,6,0,465,11
0,3,1,4,1,1,2,2,505,7
1,3,0,1,1,2,7,2,1,12
0,3,1,0,0,1,3,0,166,11
0,3,1,0,0,2,7,0,454,11
0,3,1,0,0,2,5,1,663,11
1,3,1,0,0,2,4,1,160,11
0,1,1,0,0,2,6,2,571,11
0,3,1,0,0,0,7,1,579,11
1,3,1,0,0,2,7,1,662,11
0,3,1,0,0,2,4,0,422,11
1,2,1,0,0,2,0,1,270,11
1,3,0,0,0,1,4,0,125,8
1,1,0,0,0,2,7,3,40,8
1,1,0,1,0,0,4,3,60,12
0,2,1,0,0,0,0,1,342,11
0,3,0,0,0,2,4,1,228,8
0,3,1,0,0,2,4,0,399,11
0,1,1,0,0,0,6,2,343,11
0,3,1,0,0,0,4,0,234,11
0,1,0,1,2,2,1,3,12,8
1,1,1,0,0,2,6,2,530,11
1,1,0,0,1,0,0,3,45,12
1,3,0,0,0,1,6,0,306,8
1,3,1,2,0,1,6,2,380,11
0,3,1,0,0,2,4,0,292,11
1,2,0,0,0,1,6,1,304,8
0,3,1,0,0,2,6,1,647,11
1,1,1,1,2,2,1,3,12,7
1,1,0,0,0,0,6,3,184,8
1,1,0,1,0,0,5,3,476,12
0,2,1,1,0,0,7,2,2,11
1,1,0,0,0,0,7,3,191,8
1,1,0,0,0,0,4,3,247,8
1,1,0,2,2,0,5,3,528,8
0,2,0,1,1,2,7,2,321,12
0,3,1,0,0,2,7,0,253,11
0,2,1,1,1,2,0,2,243,11
1,3,0,0,0,2,7,0,435,8
1,2,0,1,0,2,4,2,299,12
0,2,1,0,0,2,0,1,410,3
1,1,0,0,2,2,7,3,641,8
1,1,0,1,1,0,0,3,575,12
0,3,1,0,0,2,4,0,152,11
0,3,1,0,0,2,7,0,144,11
1,2,0,0,0,1,7,1,565,8
1,2,0,1,1,2,4,2,88,12
0,3,1,8,2,2,6,3,532,11
1,1,0,0,0,0,0,3,654,8
0,3,1,0,0,2,3,0,443,11
1,2,0,0,0,2,0,1,36,12
1,3,0,1,1,2,7,2,218,12
1,1,0,0,1,0,5,3,258,8
1,3,0,2,0,1,6,2,380,8
0,1,1,0,0,2,0,2,468,11
0,1,1,0,1,2,0,3,221,11
0,3,1,2,0,2,5,2,625,11
1,1,0,1,0,2,6,3,192,12
0,3,1,0,0,2,6,0,151,11
0,1,1,1,0,2,7,3,473,11
1,1,0,0,0,0,0,3,79,8
1,3,1,0,0,2,0,1,138,11
0,1,1,0,0,2,0,3,63,11
1,2,1,1,1,2,1,2,428,7
1,1,0,3,2,2,4,3,189,8
0,2,1,0,0,2,7,1,120,11
0,2,1,0,0,2,4,1,542,11
0,2,1,0,0,2,0,1,190,11
1,2,0,0,0,2,4,1,76,8
1,2,0,0,0,2,0,1,571,8
1,3,0,1,0,2,6,2,149,12
1,3,1,1,1,2,1,2,130,7
0,3,1,0,0,2,0,1,155,11
0,3,1,0,0,2,4,1,451,11
0,1,1,0,0,2,6,3,648,11
0,3,1,1,1,0,5,0,173,11
0,3,1,1,0,2,4,2,22,11
0,3,1,0,0,0,6,0,656,11
0,3,1,0,0,2,7,1,623,11
1,1,0,0,1,2,4,3,70,8
0,2,0,0,0,2,0,1,197,8
1,3,0,0,0,1,6,0,384,8
1,3,0,0,0,1,6,0,403,8
0,3,1,1,4,2,0,2,563,11
0,2,1,1,0,0,7,2,664,11
0,3,0,0,1,0,0,1,39,12
0,3,1,0,0,2,7,0,24,11
0,3,1,1,0,1,6,2,444,11
0,3,1,0,0,2,7,0,3,11
1,1,0,1,0,0,0,3,631,12
1,3,0,0,0,0,6,0,415,12
1,3,0,0,0,1,6,0,287,8
1,1,0,0,0,0,4,3,28,10
1,1,1,1,0,0,4,3,236,11
0,3,1,1,0,2,5,0,644,11
0,3,1,0,0,2,4,1,48,11
0,1,1,0,0,0,4,3,509,11
0,3,0,3,1,2,1,2,463,8
1,1,0,1,0,0,6,3,395,12
1,3,0,0,0,2,4,0,325,8
0,1,1,0,2,0,7,3,643,11
0,3,1,0,0,0,4,0,56,11
0,3,1,0,0,2,4,0,227,11
1,1,0,0,0,0,0,3,57,8
1,3,0,0,2,0,1,2,424,8
0,3,1,0,0,2,7,0,602,11
1,1,0,1,0,2,7,3,265,12
0,3,1,0,0,2,6,0,492,11
0,2,1,0,0,2,5,3,147,11
0,3,1,5,2,2,1,3,220,7
1,2,0,0,0,2,0,1,80,8
0,3,1,0,0,1,6,0,531,11
1,2,0,0,0,0,5,1,333,8
1,1,1,1,2,2,0,3,100,11
1,3,1,0,0,2,4,0,282,11
0,3,1,2,0,2,7,0,227,11
1,1,0,1,0,0,4,3,430,8
1,3,0,0,2,2,4,2,537,12
0,3,1,0,0,2,4,0,291,11
0,3,0,0,0,2,7,0,454,8
0,2,1,0,0,2,0,2,386,11
0,2,1,0,0,2,4,1,462,3
1,2,0,0,0,2,7,1,612,12
1,3,1,0,0,2,0,0,437,11
0,3,1,0,0,2,7,1,4,11
0,3,0,1,0,2,4,1,296,8
0,3,1,1,0,2,7,2,230,11
0,3,0,0,0,2,4,1,456,8
0,2,1,1,0,2,7,2,200,11
0,3,1,0,0,2,0,0,642,11
1,2,1,1,1,2,1,2,507,7
0,3,1,0,0,2,4,0,59,11
0,3,0,3,1,2,6,2,332,8
0,3,1,0,0,2,6,0,541,11
0,3,1,0,0,1,6,0,243,11
1,1,0,1,0,1,7,3,398,8
0,2,1,0,0,2,6,0,137,11
1,3,1,0,0,2,0,0,590,11
0,3,0,0,0,2,6,1,390,12
1,2,0,1,1,2,7,3,165,12
1,2,0,0,2,2,5,1,551,8
0,2,1,0,0,2,7,1,376,11
0,3,0,0,2,2,2,2,619,8
0,3,1,0,0,0,6,0,207,11
0,3,1,0,0,1,4,0,106,11
0,3,1,0,0,2,7,0,660,11
0,3,0,1,1,2,7,1,142,12
0,3,1,1,1,2,5,2,520,11
0,3,1,0,0,2,6,0,650,11
1,2,0,1,0,2,7,2,113,12
1,2,0,0,0,2,4,2,489,8
0,3,1,0,0,1,6,0,185,11
1,3,1,0,0,2,7,1,490,11
1,1,1,0,0,2,7,2,62,11
1,3,0,1,0,2,6,2,601,12
1,2,0,1,0,2,0,2,355,12
0,3,1,0,0,2,5,0,297,11
0,1,1,1,0,2,0,3,553,11
1,1,0,1,2,2,5,3,100,8
0,3,0,2,2,2,4,3,187,8
1,2,0,2,3,2,4,2,507,12
0,1,1,1,4,2,3,3,189,11
0,2,1,0,0,2,7,1,319,11
1,2,0,1,1,2,0,2,243,12
0,3,1,0,0,2,4,1,233,11
0,3,1,1,0,2,4,0,486,11
1,2,0,0,0,2,7,1,504,13
1,3,1,0,0,2,6,1,289,11
1,1,1,0,2,2,1,3,156,7
1,2,0,0,1,2,5,2,391,8
1,1,1,0,0,2,7,2,544,11
1,3,0,2,1,0,1,2,32,8
1,1,1,0,0,2,0,2,488,6
0,2,1,1,2,2,0,2,638,11
0,3,1,1,0,2,6,2,229,11
0,1,1,0,0,0,7,2,188,11
1,1,1,1,0,0,0,3,216,11
0,3,1,0,0,2,6,1,474,11
1,3,1,0,0,0,7,0,281,11
0,1,1,0,0,2,3,2,396,11
1,1,0,1,0,2,6,3,308,12
1,2,0,0,0,2,0,1,606,8
0,3,1,0,0,1,6,0,446,11
1,1,1,0,0,2,0,2,15,11
0,3,1,0,0,2,7,1,411,11
0,1,1,0,0,2,0,3,206,11
0,2,1,0,0,2,0,1,397,11
0,3,1,0,0,2,6,1,366,11
0,3,1,0,0,2,0,0,219,11
0,2,1,0,0,2,6,0,91,11
0,1,1,0,0,2,0,2,569,11
0,3,1,0,0,1,6,0,540,11
1,3,0,2,1,0,1,2,32,8
0,3,1,0,0,2,6,0,305,11
0,3,1,0,0,2,0,1,85,11
1,2,0,1,2,2,7,2,638,12
1,2,0,0,0,0,4,1,288,12
0,3,0,0,0,2,4,1,586,8
0,1,1,0,0,2,6,3,115,11
0,2,1,1,0,2,7,2,502,11
0,3,1,1,0,2,7,0,73,11
0,3,1,0,0,2,4,0,301,11
1,3,0,0,1,2,1,1,259,8
0,3,1,5,2,2,2,3,220,7
0,2,1,0,0,2,6,0,195,11
0,3,1,0,0,2,0,1,524,11
1,3,0,0,0,2,3,1,616,12
1,1,1,1,0,0,4,3,60,11
0,3,0,3,1,2,6,2,332,8
1,1,0,1,0,2,7,3,271,12
0,1,1,0,0,0,0,2,307,11
0,3,1,0,0,2,7,1,574,11
1,3,1,1,1,2,2,2,130,7
0,3,1,1,0,2,6,2,229,11
0,3,1,0,0,2,4,0,649,11
0,1,1,0,0,2,0,2,405,11
0,1,1,0,0,0,3,3,23,11
0,3,1,0,0,2,4,1,580,11
0,3,1,0,0,0,6,1,657,11
1,1,0,1,0,0,0,3,178,8
0,3,1,0,0,2,6,2,547,11
0,1,0,1,2,2,4,3,12,12
0,3,1,0,0,2,4,0,593,11
0,3,1,0,0,2,5,1,89,11
0,3,0,0,0,1,4,0,92,8
0,3,0,0,0,1,6,0,450,8
0,3,0,0,0,2,0,1,322,8
1,1,0,0,0,2,5,3,365,8
0,1,1,1,0,0,5,3,476,11
1,2,0,0,2,2,7,2,496,12
1,1,1,0,0,2,6,2,72,11
0,3,1,0,0,2,7,2,453,11
1,3,1,0,0,2,7,3,326,11
1,3,1,0,0,1,7,0,141,11
0,3,1,0,0,2,6,1,634,11
1,1,1,0,0,2,0,2,383,11
1,1,0,1,0,0,0,3,523,12
0,3,1,0,0,2,4,0,118,11
0,1,1,0,0,2,0,3,629,11
1,2,0,0,0,2,7,1,337,12
0,3,1,0,0,1,6,2,527,11
1,2,0,1,0,2,0,2,20,12
0,3,1,0,0,2,7,0,472,11
1,1,0,0,0,2,7,3,480,8
0,3,1,0,0,2,4,0,627,11
0,3,1,0,0,0,6,0,320,11
1,1,0,0,1,0,0,3,258,12
0,3,1,0,0,0,6,0,303,11
0,3,1,0,0,1,0,0,180,11
1,2,0,0,0,2,0,1,508,8
0,1,1,0,0,2,6,3,181,11
0,3,1,0,0,2,0,0,535,11
0,2,1,2,1,2,4,1,260,11
1,2,0,1,1,2,1,2,496,8
0,3,1,0,0,0,6,0,609,11
0,3,1,1,1,0,5,0,173,11
1,3,0,0,2,0,6,2,482,12
0,3,0,0,0,2,7,1,85,8
1,2,0,0,2,2,2,2,243,8
0,1,1,0,0,2,0,2,82,6
1,1,0,0,0,0,7,3,329,8
0,3,1,0,0,2,6,1,511,11
1,1,0,0,2,0,4,3,193,8
1,1,0,0,2,2,0,3,134,8
0,3,0,4,2,2,2,3,16,8
0,3,0,4,2,2,2,3,16,8
1,2,1,1,0,2,7,2,47,11
0,1,1,1,0,0,0,3,161,11
0,1,1,0,0,2,3,2,433,11
1,2,0,1,0,2,4,2,47,12
1,2,1,0,0,0,6,1,461,11
0,3,1,1,1,2,7,2,218,11
1,2,1,1,1,2,2,3,147,7
1,1,1,0,2,0,5,3,597,11
0,2,1,0,0,2,7,2,545,11
0,3,1,0,0,1,6,0,444,11
1,3,1,0,0,0,4,0,331,11
1,3,0,0,0,2,4,0,452,8
0,1,1,0,0,2,3,2,652,11
1,1,0,1,0,0,0,3,167,5
0,1,1,0,0,0,6,3,512,11
1,1,0,1,1,2,0,3,595,12
1,3,0,1,0,2,0,2,661,12
0,3,1,0,0,1,6,0,412,11
0,3,1,0,0,2,0,0,559,11
0,2,1,0,0,2,7,1,438,11
0,3,1,0,0,2,6,1,554,11
0,3,0,0,0,2,6,1,389,8
0,3,1,2,0,2,4,2,147,11
0,3,1,0,0,2,4,0,585,11
0,3,0,0,4,2,7,2,463,12
0,3,1,0,0,0,6,0,157,11
1,3,1,0,0,2,7,0,295,11
1,2,1,0,0,2,3,1,241,11
1,1,0,2,0,2,0,3,21,12
1,1,1,0,0,2,0,2,185,11
1,3,0,0,0,1,6,0,306,8
0,3,1,0,0,2,5,1,526,11
0,3,1,0,0,2,4,1,470,11
1,2,0,0,0,2,7,1,203,8
1,1,0,1,0,2,0,3,553,12
0,3,0,1,0,0,6,1,94,12
1,3,1,0,0,2,7,0,296,11
1,2,0,1,1,2,4,2,111,8
1,1,0,1,1,0,0,3,597,12
0,2,1,0,0,2,0,2,163,11
0,1,1,0,0,0,0,3,521,11
0,3,1,0,0,0,6,1,471,11
1,1,0,0,2,2,5,3,595,8
0,2,1,0,0,2,0,1,284,11
1,1,1,1,1,0,0,3,194,11
0,3,1,0,0,2,4,1,210,11
0,3,1,0,0,2,6,1,419,11
0,3,1,0,0,2,7,0,510,11
1,1,0,1,0,0,0,3,582,12
0,3,1,0,0,2,0,0,174,11
0,3,0,0,2,1,6,0,68,8
0,2,1,1,0,2,0,2,105,11
0,3,1,1,1,2,0,2,619,11
1,2,0,0,0,2,6,3,335,8
0,3,1,0,0,2,0,0,292,11
0,3,1,0,0,0,6,0,67,11
1,1,1,1,0,0,0,3,167,15
1,2,0,2,1,2,4,2,280,12
0,3,1,0,0,2,6,0,564,11
0,1,1,0,0,2,6,3,240,11
0,3,1,0,0,2,0,1,607,11
1,1,1,0,0,0,7,2,266,11
0,3,1,1,0,2,0,2,348,11
0,3,1,0,0,2,7,0,300,11
1,1,1,0,0,2,7,2,143,11
1,2,0,1,2,0,4,3,327,12
1,1,0,0,0,2,0,3,550,8
0,3,0,1,5,2,0,3,16,12
0,3,1,0,0,2,6,0,283,11
1,3,0,1,0,1,6,2,420,8
0,3,1,0,0,1,6,0,269,11
0,3,1,0,0,2,7,1,75,11
1,2,0,1,2,2,4,3,255,8
0,3,1,1,1,2,7,1,142,11
0,3,0,1,0,2,7,2,352,12
1,2,0,2,1,2,1,3,49,8
0,2,1,0,0,2,7,1,205,11
0,3,1,1,0,0,7,1,653,11
1,1,1,1,0,2,0,3,311,11
1,3,1,1,1,0,4,2,424,11
0,3,1,0,0,2,4,0,235,11
0,3,1,0,0,2,4,2,69,11
0,1,1,0,0,2,3,3,592,11
0,2,1,0,0,1,0,1,314,14
1,1,0,0,0,2,4,3,354,8
0,3,1,0,0,2,7,0,66,11
0,3,1,0,0,1,6,0,445,11
1,1,1,0,0,2,3,2,41,11
0,3,1,0,0,2,0,0,358,11
1,1,1,0,0,0,7,2,577,3
0,1,1,0,0,2,6,0,466,11
0,3,0,3,2,2,2,2,563,8
1,2,0,0,0,2,7,1,148,8
0,3,1,0,0,2,7,0,334,11
0,2,1,1,1,2,7,2,122,11
0,3,0,0,5,2,0,3,464,12
0,3,1,1,0,2,6,2,601,11
0,3,1,0,0,2,4,0,286,11
1,1,0,0,0,0,4,3,533,9
0,3,0,3,2,2,1,2,563,8
1,3,1,0,0,2,6,3,186,11
1,3,0,2,1,0,1,2,32,8
1,1,1,1,0,0,0,3,239,11
0,3,1,0,0,2,4,0,128,11
1,1,1,0,0,0,0,3,555,1
0,3,1,0,0,2,6,0,646,11
1,3,0,0,0,2,4,0,580,8
0,3,1,0,0,2,6,0,402,11
1,2,0,0,1,2,5,2,158,8
0,3,1,0,0,2,4,1,298,11
1,3,0,0,0,1,6,0,449,8
0,3,0,0,0,1,5,0,250,8
0,2,1,2,0,2,4,3,257,11
0,3,1,0,0,2,6,0,497,11
0,3,0,1,1,1,7,2,68,12
0,2,1,0,0,2,4,1,170,11
0,1,1,0,2,0,0,3,430,11
1,1,1,2,0,2,0,3,192,3
0,3,1,0,0,0,0,0,33,11
0,1,1,0,0,2,0,2,121,11
0,3,1,0,0,2,0,0,118,11
1,3,1,1,0,2,4,0,349,11
0,2,1,2,0,2,7,3,257,11
0,2,1,0,0,2,4,1,81,11
0,3,1,0,0,2,6,0,518,11
0,3,1,0,0,2,0,1,127,11
1,1,0,1,0,2,6,3,596,12
1,2,0,1,1,2,0,3,76,12
0,1,1,1,0,2,7,3,146,11
0,2,1,0,0,2,3,1,401,11
1,2,1,0,0,2,7,1,645,11
0,2,1,0,0,2,6,0,632,11
0,3,1,0,0,2,5,0,169,11
0,3,1,0,0,2,4,1,539,11
1,3,0,0,0,2,5,1,615,8
0,3,0,1,6,2,0,3,220,12
1,1,1,0,1,0,0,3,96,11
0,3,0,0,0,1,6,1,483,8
1,1,1,0,0,0,7,3,244,11
0,3,1,0,0,2,4,1,455,11
0,3,1,5,2,2,5,3,220,11
0,2,1,1,1,2,0,3,76,11
0,2,1,1,2,0,4,3,327,11
0,3,1,4,1,2,5,3,464,11
0,3,1,0,0,2,4,1,140,11
0,3,1,0,0,2,5,0,183,11
1,1,0,0,1,2,5,3,362,8
1,1,1,1,0,2,7,3,154,11
1,3,0,0,1,0,1,1,302,8
1,3,1,0,0,2,6,3,324,11
0,3,1,0,0,0,4,0,529,11
0,1,1,0,0,2,0,2,635,1
